Mot_clé,Mot_clé_en_francais,Catégorie_thématique
LocalBusiness,Service de proximité,Commerce
ArtGalleryOrExhibitionGallery,"Galerie d'art, galerie d'exposition",Culture et social
CircusEvent,Spectacle de cirque,Culture et social
CircusPlace,Cirque,Culture et social
Commemoration,Commémoration,Culture et social
Concert,Concert,Culture et social
Conference,Conférence,Culture et social
CraftsmanShop,Artisan d'art,Culture et social
CulturalActivityProvider,Prestataire d'activité culturelle,Culture et social
CulturalEvent,Évènement culturel,Culture et social
CulturalSite,Site culturel,Culture et social
DanceEvent,Spectacle de danse,Culture et social
EntertainmentAndEvent,Fête et manifestation,Culture et social
Exhibition,Exposition,Culture et social
Festival,Festival,Culture et social
Game,"Jeu, concours",Culture et social
Harvest,"Vendange, récolte",Culture et social
Opera,Opéra,Culture et social
Parade,Défilé Cortège Parade,Culture et social
Theater,"Théatre, Salle de spectacle",Culture et social
BistroOrWineBar,Gastronomie,Gastronomie
Brewery,Gastronomie,Gastronomie
Cellar,Gastronomie,Gastronomie
Cooperative,Gastronomie,Gastronomie
FarmhouseInn,Gastronomie,Gastronomie
GourmetRestaurant,Gastronomie,Gastronomie
LocalProductsShop,Gastronomie,Gastronomie
Market,Gastronomie,Gastronomie
Producer,Gastronomie,Gastronomie
ProducersGroup,Gastronomie,Gastronomie
TableHotes,Gastronomie,Gastronomie
Tasting,Gastronomie,Gastronomie
TastingProvider,Gastronomie,Gastronomie
WineCellar,Gastronomie,Gastronomie
CyclingTour,Itinéraire cyclable,Itinéraire touristique
FluvialTour,Itinéraire fluvial ou maritime,Itinéraire touristique
HorseTour,Itinéraire équestre,Itinéraire touristique
RoadTour,Itinéraire routier,Itinéraire touristique
Tour,Itinéraire touristique,Itinéraire touristique
UnderwaterRoute,Itinéraire sous-marin,Itinéraire touristique
WalkingTour,Itinéraire pédestre,Itinéraire touristique
BalneotherapyCentre,Centre de balnéothérapie,Loisir
BowlingAlley,Bowling,Loisir
Casino,Casino,Loisir
Cinema,Cinéma,Loisir
EducationalTrail,Sentier de découverte et d'interprétation,Loisir
FirstPractice,Baptême sportif,Loisir
Hammam,Hammam,Loisir
KidsClub,Club enfants,Loisir
Marina,Port de plaisance,Loisir
MiniGolf,Mini golf,Loisir
MountainResort,Station de montagne,Loisir
NauticalCentre,Base nautique / centre nautique,Loisir
PlayArea,Aire de jeux,Loisir
SightseeingBoat,Bateau promenade,Loisir
Spa,Etablissement thermal,Loisir
SpaResort,Station thermale,Loisir
SwimmingPool,Piscine,Loisir
TeachingFarm,Ferme pédagogique,Loisir
ThalassotherapyCentre,Centre de thalassothérapie,Loisir
ThemePark,"Parc de loisirs, parc à thème",Loisir
TourismCableCar,Téléphérique touristique,Loisir
TouristBus,Bus touristique,Loisir
TouristTrain,Train touristique,Loisir
Velodrome,Vélodrome,Loisir
